COUNTY,LowerRangeOccupation,UpperRangeIndustry,county_cpt,low_supply,med_supply,hi_supply,LsupplyUpper,LsupplyLower,MsupplyUpper,MsupplyLower,HsupplyUpper,HsupplyLower
HUTCHINSON,1117.0617542843,1167.12689463477,267,121,142,163,11,11,13,13,15,14
IRION,79.7803630796151,80.8280402449694,0,0,0,0,0,0,0,0,0,0
JACK,315.897669644877,324.642566161502,165,88,101,114,28,28,32,32,37,36
JACKSON,824.045558479532,866.001347953217,444,206,255,304,25,24,31,30,37,36
JASPER,1455.51542924741,1498.43489409644,219,140,155,170,10,10,11,11,12,12
JEFF DAVIS,83.6813219934348,84.2179647866309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
JEFFERSON,11961.9483667221,12516.9521734719,5282,1729,2233,2736,15,14,19,18,23,22
JIM HOGG,250.726923040515,257.464058595229,75,36,42,48,15,14,17,17,20,19
JIM WELLS,2204.75825568881,2238.33928938467,523,199,251,303,10,9,12,12,14,14
JOHNSON,8899.94401080176,9350.96578727073,3443,1191,1531,1870,14,13,18,17,22,20
JONES,434.813708796273,447.60111490959,168,59,79,98,14,14,19,18,23,22
KARNES,549.229837200234,570.20452232404,140,56,72,87,11,10,14,13,16,16
KAUFMAN,7058.00175662017,7436.07282923994,4069,1344,1725,2106,20,19,25,24,30,29
KENDALL,2068.37393307449,2168.40498959872,1207,322,435,547,16,15,22,21,27,26
KENEDY,25.6871260504202,24.8661596638655,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
KENT,32.6060625278149,33.5843168669337,0,0,0,0,0,0,0,0,0,0
KERR,1995.76587929524,2050.50390732989,946,415,501,586,21,21,26,25,30,29
KIMBLE,195.675461282517,199.962143451301,0,0,0,0,0,0,0,0,0,0
KING,23.2711878654971,22.4886220760234,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
KINNEY,120.053776643991,121.478735827664,0,0,0,0,0,0,0,0,0,0
KLEBERG,1624.05154813047,1664.4590230708,239,115,139,164,8,7,9,9,11,10
KNOX,202.363175506742,200.576493883382,12,4,6,7,2,2,3,3,4,4
LA SALLE,283.262949340892,291.603693368426,0,0,0,0,0,0,0,0,0,0
LAMAR,2400.90603298541,2518.50954601739,1203,509,630,752,22,21,27,26,32,30
LAMB,769.805741843865,780.340696978837,158,59,78,98,8,8,11,10,13,13
LAMPASAS,942.934872254522,975.145830103359,189,92,114,136,10,10,13,12,15,14
LAVACA,994.775524463835,1034.9313842502,659,306,372,438,31,30,38,36,45,43
LEE,844.234141104294,871.997864263804,539,159,209,259,19,19,25,24,31,30
LEON,719.470196514212,732.913153000351,147,62,79,96,9,9,11,11,14,14
LIBERTY,3613.18790623588,3792.96506180276,1221,422,522,622,12,12,15,14,18,17
LIMESTONE,972.524895456801,1016.24669005599,274,80,104,127,9,8,11,11,14,13
LIPSCOMB,212.99246468723,215.237972038051,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
LIVE OAK,414.357458274905,416.84151667629,46,15,21,28,4,4,6,6,7,7
LLANO,531.929567990956,548.435316537468,227,64,91,119,13,12,18,17,23,22
LOVING,4.28235294117647,4.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
LUBBOCK,17270.7503599079,18082.5411586161,9564,3941,4790,5639,23,22,28,27,33,32
LYNN,311.610951274105,316.503376377411,109,41,52,62,14,13,17,17,20,20
MADISON,438.096495729521,455.361028041242,237,104,123,142,24,23,29,28,33,32
MARION,323.559913385566,333.918720288274,164,53,71,88,17,16,22,22,28,27
MARTIN,382.267230732692,380.287185310533,70,26,30,35,7,7,8,8,10,10
MASON,224.733672795001,222.867324561403,77,33,37,41,15,15,17,17,19,19
MATAGORDA,1986.04834934545,2060.02892557766,480,96,139,181,5,5,7,7,10,9
MAVERICK,3264.49695586798,3320.90391662354,893,344,436,528,11,11,14,14,17,16
MCCULLOCH,405.595577303038,413.50384107187,0,0,0,0,0,0,0,0,0,0
MCLENNAN,13305.9359511325,13960.1979032293,6021,2481,3032,3582,19,18,23,22,27,26
MCMULLEN,24.556253776435,25.4788217522659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
MEDINA,2344.62690933231,2432.66026092553,791,302,393,484,13,13,17,17,21,20
MENARD,70.2862176165803,71.4729345266133,0,0,0,0,0,0,0,0,0,0
MIDLAND,10876.7472820889,11191.2643360732,4783,1683,2105,2527,16,16,20,19,24,23
MILAM,1129.77477125906,1164.04034456428,165,74,95,115,7,7,9,9,11,10
MILLS,217.680915952672,223.014177886577,45,2,6,9,1,1,3,3,5,5
MITCHELL,266.023283964322,267.375934116227,24,12,16,19,5,5,7,6,8,8
MONTAGUE,864.1817280643,881.051212324179,296,84,115,146,10,10,14,14,17,17
MONTGOMERY,35636.9869221531,37274.7100965661,17733,4866,6261,7655,14,14,18,17,22,21
MOORE,1592.47051679587,1700.23144702842,121,28,39,50,2,2,3,3,4,3
MORRIS,556.207194744044,585.213452591758,187,112,122,133,21,20,22,21,24,23
MOTLEY,66.8819636678201,66.1237240484429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NACOGDOCHES,3146.60244352797,3290.31816464012,1050,472,547,622,16,15,18,17,20,19
NAVARRO,2549.75648374946,2671.69431097297,1216,403,508,612,16,16,20,20,25,23
NEWTON,495.920396955254,509.69892188945,0,0,0,0,0,0,0,0,0,0
NOLAN,791.087921733708,825.571364203305,365,92,122,152,12,12,16,15,20,19
NUECES,19320.7104706039,19962.9233301129,6977,2982,3637,4291,16,15,19,19,23,22
OCHILTREE,703.381430067002,713.829316373534,156,37,52,67,6,6,8,8,10,10
OLDHAM,135.440323763955,141.570601275917,51,40,41,41,30,29,31,29,31,29
ORANGE,4348.35355529763,4596.15026262783,1936,663,827,990,16,15,20,18,23,22
PALO PINTO,1313.74203340749,1360.42365063389,455,144,196,247,11,11,15,15,19,19
PANOLA,1120.15463075939,1146.60913438567,472,123,163,204,11,11,15,15,19,18
PARKER,6890.57290694943,7240.97290472715,3666,1294,1623,1952,19,18,24,23,29,27
PARMER,614.515709162268,644.336398869942,0,0,0,0,0,0,0,0,0,0
PECOS,716.519346711401,727.004685699816,164,58,77,96,9,8,11,11,14,14
POLK,1761.91992578966,1820.94743713025,689,274,345,417,16,16,20,19,24,23
POTTER,6917.19463105666,7205.73720980849,3461,1178,1488,1797,18,17,22,21,26,25
